Comunidade,Categoria,Município,Horários,Obs,Endereço,Telefone,Email,Site,Responsável
Comunidade Católica Shalom,Direito Pontifício,Natal,,,"Rua Açu, 705 - Petrópolis, 59020-110 - Natal/RN",(84) 99911-6199,natal@comshalom.org,https://www.comshalom.org/natal,Wedson Araújo
Comunidade Católica Canção Nova,Direito Pontifício,Natal,,,"Rua Cel. Francisco Borges, 107 - Tirol, 59020-270 - Natal/RN",(84) 99933-9733,natal@cancaonova.com,,Robson Luiz dos Santos
Comunidade Católica de Casais Vida Nova,Direito Diocesano,Natal,,,"Av. Alexandrino de Alencar, 917 - Bairro Vermelho, 59030-350 - Natal/RN",(84) 99656-0020,marinesiomanoeldefreitas@yahoo.com.br,https://www.cccvnnatal.com.br,Marinésio Manoel de Freitas e Fátima Freitas
Comunidade Católica Veni Creator Spiritus,Direito Diocesano,Natal,,,"Rua Gonçalves Ledo, 686 - Centro, 59025-330 - Natal/RN",(84) 3222-2438,venicreator.casamae@hotmail.com,,José Ferreira Santos
Fraternidade Católica Discípulos da Mãe de Deus,Direito Diocesano,Natal,,,"Rua Júlio Gomes Moreira, 1312, 59022-110 - Natal/RN",(84) 3201-3499 / 99402-1892,maramariacarvalho@hotmail.com,https://www.discipulosdamaededeus.com.br,César Augusto Saraiva de Carvalho e Mara Lúcia Figueiredo Vieira de Carvalho
Fraternidade Católica Éfeso,Direito Diocesano,Natal,,,"Rua Santa Maria, 23A - Bom Pastor, 59060-120 - Natal/RN",(84) 98882-2400 / 99918-2528,fraternidadecatolicaefeso@hotmail.com,,Carlos Magno Cordeiro de Moura e Elisangela Pontes Silva de Moura
Comunidade Católica Boa Nova,Direito Diocesano,Monte Alegre,,,"RN 316, s/n - Granja Macedo, Monte Alegre/RN",(84) 98118-2990 / 99425-1515,comunidadecatolicaboanova@gmail.com,https://www.comboanova.com,Fábio
Comunidade Católica Obra de Maria,Direito Diocesano,Parnamirim,,,"Rua Antônio Francisco Chagas, 88 - Pirangi do Norte, 59161-600 - Parnamirim/RN",(81) 98542-9754 / 3238-3268,ivansantana@obrademaria.com.br,https://www.obrademaria.com.br,Girlan Vieira de França e Érica Cosma da Silva Vieira
Comunidade Católica Reviver pela Misericórdia,Direito Diocesano,Natal,,,"Rua Romualdo Galvão, 933 - Lagoa Seca, 59022-275 - Natal/RN",(84) 99672-6865,eudescortalves10@gmail.com,https://www.reviverpelamisericordia.com.br,Eudes Cortes Alves e Janet Saboia
Comunidade Católica Discípulos da Nova Aliança,Direito Diocesano,Nísia Floresta,,,"Rua Dom Heitor de Araújo Sales, 27 - Conj. Maria Mércia, 59164-000 - Nísia Floresta/RN",(84) 98700-3554 / 98128-8511,discipulos.novaalianca@gmail.com,,Edson de Santana e Francisca Mendes
Obra Lumen de Evangelização,Direito Diocesano,Natal,,,"Casa São Felipe Neri, Rua Prof. Paulo Pinheiro Galvão, 2976 - Capim Macio, 59078-430 - Natal/RN",(84) 98753-1231,mlumennatal@gmail.com,,Felipe Araújo e Nataly Araújo
Comunidade Católica Caminhando para a Santidade,Direito Diocesano,Parnamirim,,,"Rua dos Bem-te-vis, 100/Q5 - Conj. Natal Sul, Nova Parnamirim - Parnamirim/RN",(84) 99600-3409,comucps@gmail.com,,Maria Izabel do Nascimento
Comunidade Católica Maria Mater,Em processo de reconhecimento diocesano,Natal,,,"Rua Ceará-Mirim, 260 - Tirol, 59020-240 - Natal/RN",(84) 3222-3458 / 3211-8874 / 99422-4116,mariamater.p@hotmail.com,,Rejane da Silva Ribeiro Rodrigues
Comunidade Misericórdia e Resgate,Em processo de reconhecimento diocesano,Natal,,,"Rua Estrela da Manhã, 24 - Conj. Brasil Novo, Pajuçara, 59133-335 - Natal/RN",(84) 99932-8553,ednanatal@hotmail.com,,Silvio José
Fraternidade Combatentes da Fé - Aliança,Em processo de reconhecimento diocesano,Natal,,,"Travessa Serra do Araguaia, 138 - Soledade II, Bairro Potengi, 59127-013 - Natal/RN",(84) 99650-2705,angela.annja@homail.com,,Ângela Maria Cunha da Silva
Fraternidade Missionária São José,Em processo de reconhecimento diocesano,Santana do Matos,,,"Rua Vicente Cândido da Silva, 37 - Bairro Santa Luzia, 59520-000 - Santana do Matos/RN",(84) 99821-9417,fraternidademissionariasj@gmail.com,,Manoel Cezar Fabrício
Fraternidade Católica N. Sra. Auxiliadora dos Cristãos,Em processo de reconhecimento diocesano,Natal,,,"Av. Guaratingueta, 590 - Conj. Gramoré, 59135-500 - Natal/RN",(84) 98874-2207,fraternidadenossasenhoraauxiliadora@outlook.com,,Maria Jocilene da Silva
Comunidade Católica Via Espírito Santo,Em processo de reconhecimento diocesano,Natal,,,"Rua Limeira, 25 - Gramoré, Lagoa Azul, 59135-650 - Natal/RN",(84) 3663-6791 / 98831-9108,viaprod@hotmail.com,,Fabiano Santos de Azevedo e Francisca Emília da Silva Azevedo
Comunidade Católica Nova Virtude,Comunidade nascente,Natal,,,"Rua Visconde de Sabóia, 103 - Pajuçara II, 59131-210 - Natal/RN",3663-2131 / 98780-6944,novavirtude@outlook.com,,Emanoel Justino dos Santos
Comunidade Cristo Ressuscitado,Comunidade nascente,Natal,,,"Rua Praia de Itamaracá, s/n - Conjunto Ponta Negra, 59094-510 - Natal/RN",(84) 99471-1994,elichuchu@hotmail.com,,Eliane Ferreira de Andrade Fagundes
Comunidade Adorai,Comunidade nascente,Natal,,,"Av. Prudente de Morais, 4633 - Candelária, 59063-200 - Natal/RN",(84) 98633-8208 / 99960-0404,conselhoccadorai@gmail.com,,Karina Maria da Conceição Macedo Fernandes
Comunidade Colo de Deus,Comunidade nascente,Natal,,,"Rua Arco-Íris, 201-B - Felipe Camarão, Natal/RN",(84) 98605-1211,thauan41@gmail.com,,Douglas Thauan Andrade Silva
Comunidade Missão Casa de Maria,Comunidade nascente,Bom Jesus,,,"Rua Rita Pereira de Souza, 280, 59270-000 - Bom Jesus/RN",(84) 98816-7684,missao_casademaria@hotmail.com,,George Washington Nunes Pereira
Fraternidade Católica São Miguel Arcanjo,Comunidade nascente,São Gonçalo do Amarante,,,"Rua Projetada, s/n - Lot. Nova Zelândia II, São Gonçalo do Amarante/RN",(84) 98851-9259,fraternidadesaomiguelarcanjo@hotmail.com,,Joelton Meireles de Freitas
Casa de Missão O Bom Samaritano,Comunidade nascente,Natal,,,"Rua Bela Vista, 679 - Igapó, Natal/RN",(84) 98864-7021,jandiragomes971@gmail.com,,Jandira dos Santos Gomes (Fundadora)
Comunidade Ruah,Comunidade nascente,Extremoz,,,"Rua Felipe Camarão, 88 - Centro, Extremoz/RN",(84) 98108-1146,ruahdodo@gmail.com,,Douglas Felipe (Fundador)
Missão Manda Mais Senhor de Mãos Dadas com Maria,Comunidade nascente,São Gonçalo do Amarante,,,"Rua São Francisco de Assis, 47 - Vila Paraíso, São Gonçalo do Amarante/RN",(84) 99966-6748,,,Emerson Ribeiro Frutuoso (Fundador)
Instituto das Irmãs Franciscanas Missionárias de Frei Damião de Bozano,Comunidade nascente,Natal,,,"Rua João Fernandes Sobral, 128 - Ceará-Mirim, Natal/RN",,,,Ir. Maria Madalena dos Santos Lima (Fundadora)
Fraternidade Boas Obras,Comunidade nascente,Natal,,,"Rua Guaratinguetá, 570 - Gramoré, Natal/RN",(84) 99601-6535,alexandredomingosribeiro@03.gmail.com,,Alexandre Domingos Ribeiro (Fundador)
Comunidade de Família Chama de Amor,Comunidade nascente,Canguaretama,,,"Praça Augusto Severo, 198 - Centro, Canguaretama/RN",(84) 99981-7092,erivan.lima@yahoo.com,,Erivan de Souza Lima (Fundador)
Missão Misericórdia e Ressurreição,Comunidade nascente,Natal,,,"Conjunto Parque das Dunas, Natal/RN",(84) 99453-2962,,,Marcleide Betânia (Fundadora)
Fraternidade Discípulos de São Bento,Comunidade nascente,São Gonçalo do Amarante,,,"Rua Carolina, 108 - Amarante, São Gonçalo do Amarante/RN",(84) 98889-0720,proced.turismo2014@gmail.com,,Geraldo Félix (Fundador)
