Congregação,Tipo,Município,Horários,Obs,Endereço,Telefone,Email,Responsável
Capuchinhos — Fraternidade Santo Antônio,Masculina,Natal,,,"Rua Santo Antônio, 698 - Cidade Alta, 59025-520 - Natal/RN",(84) 3211-4236,conventosantoantonio@hotmail.com,"Frei Diniz Ferreira de Souza, OFMcap (Guardião)"
Congregação dos Missionários da Sagrada Família,Masculina,Natal,,,"Av. Coronel Estevão, 1067 - Alecrim, 59030-000 - Natal/RN",(84) 3615-2816 / 9939-3582,,"Francisco de Assis Mota, MSF (Superior)"
Filhos de Sant'Ana — Comunidade Santana e São Joaquim,Masculina,São José de Mipibu,,,"Estrada Quebra Fuzil, 216 - Bairro Quebra Fuzil, 59162-970 - São José de Mipibu/RN",(84) 3273-3903,irjarbsonbatistafsa@gmail.com,"Pe. Jarbson Batista Silva Araújo, FSA (Superior)"
Filhos de Sant'Ana — Comunidade Nossa Senhora da Assunção,Masculina,Natal,,,"Rua Dix-Sept Rosado, 500 - Guarapes, 59074-000 - Natal/RN",(84) 99131-3174,,"Pe. Anderson Luiz Silva dos Santos, FSA (Superior)"
Filhos de Sant'Ana — Comunidade São Miguel Arcanjo,Masculina,Baía Formosa,,,"Rua João Cavalcante Filho, s/n - Centro, 59194-000 - Baía Formosa/RN",,,"Pe. Juscimar Gregório Cruz, FSA (Superior)"
Jesuítas,Masculina,Natal,,,"Pça. da Matriz, s/n - Cidade da Esperança, 59070-100 - Natal/RN",(84) 3615-2891 / 3615-2853,agustincalatay@hotmail.com.br,"Pe. Agustín Calatayud Salon, SJ (Superior)"
Maristas,Masculina,Natal,,,"Rua Apodi, 330 - Tirol, 59020-130 - Natal/RN",(84) 4009-5000,diretornatal@marista.edu.br,Ir. Luiz André da Silva Pereira (Superior)
Redentoristas — Comunidade São Clemente,Masculina,Natal,,,"Av. Antônio Basílio, 3844 - Morro Branco, 59056-500 - Natal/RN",(84) 3221-2741 / 3615-2813,,"Pe. Alessandro Magno Alves de Macedo, CSsR (Superior)"
Salesianos — Centro Educacional Dom Bosco,Masculina,Natal,,,"Av. Guaratinguetá, 693 - Conj. Gramoré, Lagoa Azul, 59135-500 - Natal/RN",(84) 3615-2883,diretor@domboscogramore.com.br,"Pe. Benedito Hélio Teixeira Gomes, SDB (Superior)"
Salesianos — Comunidade São José,Masculina,Natal,,,"Av. Gov. Tarcísio de Vasconcelos Maia, 2018 - Candelária, 59065-780 - Natal/RN",3207-3484,,"Padre Robson Barros da Costa, SDB (Superior)"
Vicentinos — Congregação dos Religiosos de São Vicente de Paulo,Masculina,São Gonçalo do Amarante,,,"Rua Nossa Senhora de Santana, 182 - Bairro Santa Teresinha, 59290-000 - São Gonçalo do Amarante/RN",(84) 99837-5020,francoismungiaka@gmail.com,"Pe. Maurício Neto Martins, SV (Superior)"
Filhas de Sant'Ana — Fraternidade Madre Rosa,Feminina,Extremoz,,,"Rua Guadalajara, s/n, 59575-000 - Extremoz/RN",(84) 3132-3536 / 98174-3913,,Ir. Ana Rosa (Coordenadora)
Filhas de Sant'Ana — Mosteiro Sant'Ana (Adoradoras Perpétuas),Feminina,Parnamirim,,,"Rua Aurino Vila, 267 - Emaús, 59150-000 - Parnamirim/RN",(84) 3643-5439,,Ir. Ana Maria das Graças Paes Guimarães (Coordenadora)
Filhas do Amor Divino — Comunidade Santo Agostinho,Feminina,Parnamirim,,,"BR 101, Km 7,5 - Emaús, 59148-160 - Parnamirim/RN",3643-1148 / 9607-1562,pronevessecretaria@gmail.com,Ir. Maria Antônia Franco (Superiora)
