Horários de Missa — Arquidiocese de Natal,,,,,,,,,,,
Fonte: documento oficial da Arquidiocese de Natal | Matrizes + Capelas + Confissão | Gerado automaticamente,,,,,,,,,,,
,,,,,,,,,,,
Paróquia,Bairro,Município,Vicariato,Zonal,Horários,Obs,Endereço,Telefone,Email,Tag,Confissão
Paróquia da Catedral de Nossa Senhora da Apresentação,Tirol,Natal,Vicariato Urbano 1,1º Zonal,Seg: 11:00 | Seg: 16:30 | Ter: 11:00 | Ter: 16:30 | Qua: 11:00 | Qua: 16:30 | Qui: 11:00 | Qui: 16:30 | Sáb: 11:00 | Sáb: 16:30 | Dom: 07:00 | Dom: 11:00 | Dom: 19:00,,"Av. Floriano Peixoto, 674, Tirol - 59020-500, Natal/RN",(84) 3201-4559,,Matriz,Terça a sexta - 14h30 às 16h
Paróquia da Sagrada Família,Rocas,Natal,Vicariato Urbano 1,1º Zonal,"Qua, Qui, Sex: 18:00 | Dom: 19:00",,"Praça Sagrada Família, s/n, Rocas - 59010-670, Natal/RN",(84) 3615-2812,,Matriz,Quarta a Sexta - 17h às 18h
Santuário Santos Reis - Santos Reis,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 09:00,,,,,Pertence a matriz de Paróquia da Sagrada Família,
Nossa Senhora de Fátima - P. do meio,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 07:00,,,,,Pertence a matriz de Paróquia da Sagrada Família,
São José,,Natal,Vicariato Urbano 1,1º Zonal,Ter: 17:00,,,,,Pertence a matriz de Paróquia da Sagrada Família,
Nossa Senhora da Conceiçao - B. Teimosa,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 17:00,,,,,Pertence a matriz de Paróquia da Sagrada Família,
Paróquia de Nossa Senhora da Apresentação,Cidade Alta,Natal,Vicariato Urbano 1,1º Zonal,"Seg, Ter, Qua, Qui, Sex, Sáb: 7:30 | Dom: 08:00 | Dom: 11:00 | Dom: 17:30",,"Praça André de Albuquerque, s/n, Cidade Alta - 59025-580, Natal/RN",(84) 3615-2808,,Matriz,Terça a sexta - 14h30 às 16h
São Félix,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 09:30,,,,,Pertence a matriz de Paróquia Nossa Senhora da Apresentação,
Sagrado coração de Jesus,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 09:30 | Sáb: 19:00,,,,,Pertence a matriz de Paróquia Nossa Senhora da Apresentação,
Nossa Senhora do Rosário dos pretos,,Natal,Vicariato Urbano 1,1º Zonal,"Qua, Sex: 07:00 | Dom: 08:00 | Dom: 16:00 | Sáb: 17:00",,,,,Pertence a matriz de Paróquia Nossa Senhora da Apresentação,
Santo Antônio - Galo,,Natal,Vicariato Urbano 1,1º Zonal,"Seg, Ter, Qua, Qui, Sex, Sáb: 06:30 | Dom: 08:00 | Dom: 10:00 | Ter, Qua, Qui, Sex: 11:30 | Dom, Seg, Ter, Qua, Qui, Sex, Sáb: 18:00",,,,,Pertence a matriz de Paróquia Nossa Senhora da Apresentação,Terça a sexta - a partir das 14h00
Paróquia de Nossa Senhora da Conceição,Mãe Luíza,Natal,Vicariato Urbano 1,1º Zonal,"Ter, Qua, Qui, Sex: 17:00 | Sáb: 19:00 | Dom: 19:00",,"Alameda Padre Sabino Gentili, 686, Mãe Luíza - 59014-425, Natal/RN",(84) 99843-1594,paroquia.nsconceicao23@gmail.com,Matriz,
Nossa Senhora Aparecida,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 07:30 | Sex: 19:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Paróquia de Nossa Senhora das Graças e Santa Teresinha,Tirol,Natal,Vicariato Urbano 1,1º Zonal,"Seg, Ter, Qua, Qui, Sex: 17:30 | Dom: 08:00 | Dom: 11:00 | Dom: 17:00 | Dom: 19:30","Último domingo do mês, 9h30 — Missa das crianças.","Av. Rodrigues Alves, 793, Tirol - 59020-200, Natal/RN",(84) 3615-2809 / 3615-2810,,Matriz,
São Judas Tadeu,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 09:30 | Qui: 16:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora das Graças e Santa Teresinha,
Nossa Senhora Rainha da Paz e Santa Luzia,,Natal,Vicariato Urbano 1,1º Zonal,"Dom, Ter, Sex: 07:00 | Sáb: 16:00",,,,,Pertence a matriz de Paróquia de Nossa Senhora das Graças e Santa Teresinha,
Paróquia de Nossa Senhora de Lourdes,Areia Preta,Natal,Vicariato Urbano 1,1º Zonal,"Ter, Qua, Qui, Sex, Sáb: 17:30 | Dom: 09:00 | Dom: 18:00",,"Tv. Aprígio Alves, 738, Areia Preta - 59014-050, Natal/RN",(84) 99631-0213,pnslourdes.natal@gmail.com,Matriz,
São Francisco de Assis - Areia Preta,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 11:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora de Lourdes,
Santana e São Joaquim - Praia do Meio,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 07:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora de Lourdes,
Capela do Hospital Onofre Lopes,,Natal,Vicariato Urbano 1,1º Zonal,"Qua, Sex: 10:00",,,,,Pertence a matriz de Paróquia de Nossa Senhora de Lourdes,
Paróquia de São João Batista,Lagoa Seca,Natal,Vicariato Urbano 1,1º Zonal,"Ter, Qua, Qui, Sex: 17:30 | Sáb: 17:00 | Dom: 07:00 | Dom: 18:00",,"Rua São João, 1363, Lagoa Seca - 59022-390, Natal/RN",(84) 3615-2871 / 99927-4343,paroquiasjbatista@yahoo.com.br,Matriz,
Cristo Redentor,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 08:00 | Ter: 19:00,,,,,Pertence a matriz de Paróquia de São João Batista,
Nossa Senhora do Líbano,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 10:00 | Sex: 11:00 | Dom: 17:00,,,,,Pertence a matriz de Paróquia de São João Batista,
Santo Antônio,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 08:30 | Sáb: 17:00 | Qui: 18:30,,,,,Pertence a matriz de Paróquia de São João Batista,
Paróquia de São Pedro Apóstolo,Alecrim,Natal,Vicariato Urbano 1,1º Zonal,Seg: 06:30 | Seg: 18:00 | Ter: 06:30 | Ter: 18:00 | Qua: 06:30 | Qua: 18:00 | Qui: 06:30 | Qui: 18:00 | Sex: 06:30 | Sex: 18:00 | Dom: 06:30 | Dom: 10:30 | Dom: 17:00,"Segunda-feira, 18h — Missa por pedido de cura e libertação.","Praça Pedro II, s/n, Alecrim - 59030-000, Natal/RN",(84) 3615-2816,saopedroapostolo@yahoo.com,Matriz,Após as missas
